¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Galeno autem uisum est, ut ponantur super membrum fractum apud restaurationem eius res, in quibus est exiccatio caliditatis, sicut myrrha, et aloes et olibanum, et similia eis ex eis quae narrauimus.	Galen, however, deemed it suitable to place on the fractured limb at its restoration substances with drying warmth, like myrrh, aloe, frankincense, and similar items among those we have described.
¶ Modus Emplastri quod confert ad laesionem et dolorem.	On the method of a plaster that helps with injury and pain.
Recipe mugath, et ciceris, et capillorum hominis incisorum, aut pennae auis, et alteae, et salis partes aequales: terantur, et cribellentur, et conficiantur: et fiat ex eo emplastrum.	Take equal parts of mugwort, chickpea, human hair cuttings or bird feathers, marshmallow, and salt; grind them, sieve them, and prepare them into a plaster.
Quantitas autem secundum quam oportet, ut remaneat ligatura, deinde soluatur, est, ut consideres tunc, si non accidit infirmo dolor, neque pruritus, neque mouetur os fractum a loco suo: tunc non resoluas ipsum diebus multis.	The duration for which the bandage should remain, then be loosened, is determined by observing whether the patient experiences no pain, no itching, and the fractured bone is not moved from its place; then do not loosen it for many days.
Quod si accidat ei in loco pruritus uehemens, aut dolor inquietans, aut inflatio: tunc propera, et solue in hora ipsum, et aufer emplastrum ab eo: et accipe pannum lenem, aut spongiam marinam lenem, humidam: et submerge eam in aqua tepida, et ablue cum ea locum, donec quiescat pruritus, et sedetur dolor.	But if there occurs intense itching in the area, or disturbing pain, or swelling, then hurry and loosen it immediately, and remove the plaster from it; and take a soft cloth or a gentle sea sponge, dampen it, soak it in warm water, and wash the area with it until the itching subsides and the pain is soothed.
Deinde dimitte membrum quiescere una hora.	Then let the limb rest for one hour.
Deinde pone super ipsum lanam succidam, submersam in aceto et oleo, aut oleo rosato: et liga super ipsum nocte una, donec sis securus ab apostemate calido, et quiescat inflatio membri, et remoueatur dolor eius.	Then place fresh wool soaked in vinegar and oil, or rose oil, over it, and bind it overnight until you are sure of being free from hot swelling, and the swelling of the limb subsides and its pain is relieved.
Deinde itera ipsum ad stricturam subtilem, et emplastrum paruum: et non stringas ipsum constrictione tua prima, et subtilia cum eo, donec sanetur.	Then reapply a light bandage and a small plaster; do not tighten it as you did at first, and apply gentle bandaging until it heals.
Quod si uides, quod apostema, et rubedo, et dolor, et inflatio, et omnia accidentia iam remota sunt penitus, et indiges emplastro et strictura, tunc itera illud sicut fecisti in primis aequaliter.	If you see that swelling, redness, pain, and all other symptoms are completely removed, and you need the plaster and bandage, then reapply it as you did at first, evenly.
Quod si non accidit membro aliquid ex eis quae diximus, tune non soluas ipsum, nisi post tres dies, aut quatuor, aut quinque, aut septem.	If none of those things happen to the limb, then do not loosen it until after three days, or four, or five, or seven.
Et quando que dimittitur uiginti diebus totum illud, secundum quod apparet tibi ex solutione membri, sicut diximus, donec quando adhaeret fractura, et approximat coagulatio carnis super eam: adde etiam tunc in strictura plus quam strictura tua prima tota: et adde etiam in ingrossatione cibi infirmi, secundum quod praecessit rememoratio eius.	And sometimes it is left for twenty days, all according to what appears to you upon loosening of the limb, as we have said, until the fracture adheres and the flesh coagulates over it; then increase the tightness more than your initial bandage completely, and also increase the intake of nourishing food, as previously mentioned.
Si autem uides locum fracturae iam exiccari, et extenuari plus quam oportet: tunc scias, quod nutrimentum prohibetur peruenire ad ipsum.	If, however, you see that the site of the fracture is becoming too dry and thin, then know that nourishment is prevented from reaching it.
Embroca ergo ipsum cum aqua tepida apud omnem uicem qua soluis ipsum, et sit illud in omnibus tribus diebus, et alleuia stricturam parumper.	Therefore, moisten it with warm water every time you loosen it, and do this every three days, and ease the bandage slightly.
Per hanc ergo operationem currit ad membrum nutrimentum, et sanatur uelociter.	Through this operation, nourishment flows to the limb, and it heals quickly.
Illud autem quod faciunt stolidi restauratores ex fractura membri uice alia, quando non restauratur in primis, secundum quod oportet, et restauratur secundum tortuositatem, est error ex operatione eorum, et timor magnus: et si esset rectum, dixissent illud antiqui in libris suis, et operati fuissent cum eo.	What foolish restorers do by setting the fracture improperly when it is not initially restored as it should be, and instead set it crookedly, is a mistake in their operation and a great danger; if it were correct, the ancients would have said so in their books and worked with it.
Et ego non uidi alicubi eorum uestigium in illo omnino, et rectius est, ut non fiat illud.	And I have not seen any trace of this in any of their writings at all, and it is better that it not be done.
¶ De factura accidente in capite.	On fractures occurring in the head.
Caput III.	Chapter III.
Species fracturae sunt diuersae, et figurae eius multae: et caussae eius sunt distinctae.	The types of fractures are diverse, and their forms are many, and their causes are distinct.
Nam ex fractura est quae fit a percussione cum ense: et percussio aufert os totum usquequo peruenit ad siphac, quod est sub osse, sicut facit axia in ligno: et propter illud nominatur haec species fracturae Axialis.	There is a type of fracture that occurs from a blow with a sword: and the blow removes the entire bone until it reaches the membrane beneath the bone, just as an ax does in wood; because of this, this type of fracture is called Axial.
Aut ensis incidit quiddam ossis, et incidit faciem eius, et non penetrat incisio usque ad ultimum eius: et nominatur haec species fracturae Kalaan, id est, Leuatio absolute.	Or a sword cuts a part of the bone, and cuts its surface, but the cut does not penetrate to its depth: and this type of fracture is called Kalaan, that is, a simple Lifting.
Et est uulnus duarum fracturarum, aut magnum, aut paruum.	And it is a wound of two fractures, either large or small.
Et ex fractura est, quae est contritio, aut attritio: et caussa eius est percussio cum lapide, aut casus super lapidem, aut eis similia.	And there is a fracture which is a crushing or abrasion: and its cause is a blow with a stone, or a fall onto a stone, or something similar.
Et haec fractura est etiam aut penetrans, quae iam appropinquat panniculo, quod est sub osse: aut est in facie ossis: et est uulnus harum duarum fracturarum etiam aut paruum, aut magnum.	And this fracture is either penetrating, which is already approaching the membrane beneath the bone, or it is on the surface of the bone: and the wound from these two types of fractures can also be either small or large.
Et ex fractura est, quae est occulta in osse in subtilitate capilli: et est fissura parua, et propter illud nominatur haec species fracturae Capillaris.	And there is a fracture which is hidden in the bone in the thinness of a hair: it is a small fissure, and for this reason, this type of fracture is called Capillary.
Et ex eis est fractura, quae fit a casu, aut percussione lapidis, et eis similium, quae faciunt ingredi laminam ossis ad interiora, et fit loco concauitas: sicut accidit caldariis aeris, quando occurrit eis percussio, et ingreditur pars eorum ad interiora.	And there is a fracture that occurs from a fall, or a blow with a stone, or something similar, which causes a layer of the bone to enter inward, creating a hollow in the area: just as happens to copper cauldrons, when they are struck, and a part of them goes inward.
Et plurimum quidem fit illud in capitibus humidorum ossium, sicut sunt capita puerorum.	And this most often happens in heads with soft bones, as in the heads of children.
Et fiunt omnibus istis speciebus fracturae satagiae separatae, et ego ueniam cum rememoratione illius totius in loco suo.	And in all these types of fractures, separate steps are needed, and I will address each of them in its place.
