Praefatio.	This is an introduction to a medieval Latin textbook on
Oportet ergo ut resupinet infirmus super ceruicem suam.	Therefore, it is necessary that he lies on his own bedchair. The text likely continues to describe Albucasis's unique post-treatment care instructions which were ahead of their time and emphas
Deinde figura locum apostematis cum encaustro: deinde ignias cauterium quod assimilatur radio.	Thereafter, he outlines the site of an apse with encaustic painting; then burns a piece of charcoal that resembles radiation for further study or as part of his treatments. This passage reveals Albucasis's advanced use of art and practical experiments in
Et haec est forma eius.	And this was his form.
Et cauteriza cum eo cauterium unum, donec comburatur cutis tota, et perueniat ad siphac, donec egrediatur sanies tota: deinde cura ipsum curatione exiturarum, donec sanetur.	And this is the manner in which he cauterizes it with one instrument until all skin has been burnt and healed therein till only a scar remains; then care for its subsequent curing of wounds continues as long as the patient recovers: after that, attention to treatment ceases.
Et non oportet ut hac cauterii specie utatur, nisi cuius studium in arte medicinae prolongatur: et per cuius manus concurrunt aegritudines istae cum experimento aliquotiens: tunc enim audeat super huiusmodi operationem.	And it should not be used for this purpose of cauterization unless its study in the art of medicine prolongates; and when ailments like these occur, they concur together with hands meeting on occasion: then let one dare to try such an experimentation herewith.
At uero dimittere ipsam, apud me est melius.	On the contrary, I find it better not to send this back at all.
¶ De modo cauterizandi in Pleuresi.	About the manner of performing a cauterization on pleurisy.
Caput XXXI.	The head numbered thirty-one, or Chapter 31
Dixerunt antiqui, cauterium cum radicibus aristolochiae ad Pleuresim frigidam secundum hunc modum.	They said that the ancients used a method of applying heat with Radix Aristolochiae to induce pleurisy coldly following this manner. Now, translate into clear modern English without adding any comments or additional context: "Dixerunt antiqui.
Et est, ut recipias ex radicibus aristolochiae siccae longae, radicem unam longiorem, quae ex ea inuenitur, et sit sicut grossitudo digiti.	And it is so that you take from the dry Radix Aristolochiae such a longer one which takes out of these and stands as to thickness like fingers. Now this may be used for cauterization without burning skin, if skill in medicine remains prolongated beyond initial learning: when pain due to pleurisy occurs simultaneously with certain symptoms or conditions that require hands meeting together; then it becomes permissible according to the ancient method wherein one might dare such an experimentation. At this
Deinde submerge eam in oleo: et accende ipsam in igne.	Thereafter, immerse her in oil and ignite immediately on fire itself; then let it cool down before applying to the pleuritic area under controlled conditions only after ensuring no direct contact with flames or extreme
Deinde cauteriza cauterio uno in eo quod est inter continuationem furculae cum collo, et duobus cauteriis paruis sub guidezi parum decliuibus ad partem, quae est sub barba.	Thereafter, apply the burn instrument to that which lies between continued inflammation of one'ran neck and another: with two such tools appearing as slightly shortened beneath guiding sticks applied underneath it at a point below mustache; then let this be done in careful steps for treating pleurisy by inducing specific localized irritation without general harm.
Et duobus cauteriis etiam in eo, quod est inter costam quintam et sextam decliuibus ad posteriora parumper: et cauterio alio in medio pectoris, et alio supra stomachum.	And with two such instruments also within that which lies between the fifth and sixth costal cartilages toward the back as little underneath; additionally one burn instrument placed medially to chest area (overlying heart region), while another is positioned above stomach, then perform cauterization in a systematic approach for pleuritic treatment. This method requires precise application and handling of heat instruments without causing excessive general discomfort or pain as per the historical understanding: all under stringent supervision to prevent any misapplication that could lead from localized irritation aimed at
Et tribus cauteriis a posterioribus: uno in eo quod est inter duas spatulas: et duobus cauteriis a duobus lateribus pectoris, inferius cauterio quod est inter duas spatulas.	And three times cut from the back with one instrument that is between two spoons and two instruments on each of the two sides of the chest, lowered by a tool in-between two spoons:
Et non oportet ut comprimas manum tuam cum cauterio, imo sit in manifesto cutis odorando.	And it is not necessary that you should compress your hand with the caustic tool; I prefer an open wound emitting a scent:
Et iam dixerunt quidam antiqui, quod ex hominibus sunt qui utuntur cauterio ex ferro simili radio: et igniunt, et intus mittunt ipsum in eo quod est inter costas, donec perueniatur cum eo ad ipsum apostema, et egrediatur sanies: sicut diximus in apostemate Epatis.	And some ancients say that men use caustic tools made of iron similar to radioactivity and burn them with fire; they throw it inside where between the ribs is until it perishes, turning into an astringent applied directly onto the ulcerated part just as we have done for sores on the liver.
