Praefatio.	 Praiseworthy introduction
Et si humiditas est sub osse, et signum eius est, quod uides commissuras capitis apertas ab omni parte: et aqua deprimitur quando comprimis eam manu tua ad interiora, et non occultatur tibi illud: tunc oportet ut findas in medio capitis tribus fissuris, secundum hunc modum.	 And if the humidity is under bone and its seal, which you wish to open up completely all over, then water will be depressed when you press it with your hand towards the inside, and this cannot be hidden from you: so that three incisions should be made in the middle of the head, as I said earlier.
Et post incisionem extrahe humiditatem totam.	 After making an incision, remove all the humidity.
Deinde stringe fissuras cum pannis et puluillis.	 Then tie up the incisions with cloth and wool
Deinde embroca illud desuper cum uino et oleo usque ad diem quintum.	 And then wrap it tightly from above with wine, oil, and olive oil until tomorrow morning.
Deinde solue ligamentum, et cura uulnus cum tentis, et unguentis.	 Then apply a bandage and take care of the wounds with strips and ointment.
Et non dimittas stringere caput cum aequalitate.	 And do not tie up your head evenly.
Et ciba infirmum omni cibo sicco paucae humiditatis, usquequo confortetur membrum, et sanetur.	 And keep it moist with dry food until the member is recovered and healed.
Et modus alius incisionis est, ut consideres ubi apparet magnitudo apostematis, et collectio aquae.	 Another method of incision is to determine where the seal becomes large, and then collection of water.
Quoniam quandoque est in occipitio plus, aut in sincipite, aut in dextra, aut in sinistra.	 Because sometimes there may be a greater injury on one side or another, so that when there is an incision you should consider if it occurs to the left or right.
Ascende ergo cum incisione ubi apparet tibi apostema et impletio aquae: et scinde illud secundum quod tibi possibile est.	 Then ascend with the incision where you see the seal and collection of water, until that is done according to what you can do.
Et obserua, ne incidas arteriam, et accidat fluxus sanguinis, et moriatur infirmus ex illo fluxu cum euacuatione humiditatis.	 And observe not to cut the artery and cause the flow of blood, causing death for the limb with removal of humidity.
¶ De incisione Arteriarum quae sunt post aures.	 Of incision in arteries that are behind the ears.
Caput II.	 Head Two
Quando accidunt alicui catarri ad oculos, aut ad pectus, et antiquatur illud, et non confert curatio medicinarum: tunc magis ultima curatio est in illo, incisio harum duarum arteriarum.	 When wounds occur on the eyes or face and become healed, then further care is not given to it, except for one last incision at that point, of the two arteries.
Oportet ergo quando uis incidere eas, ut radat infirmus caput suum.	 Then you must make an incision in order for the limb to be raised up when needed.
Deinde frica locum cum panno aspero, ut appareant arteriae.	 Afterwards tie a bandage tightly on place with strips and then show the arteries.
Deinde stringat infirmus collum suum, cum quolibet panno suo.	 While supporting his head with one hand and holding a towel in another
Deinde considera, ubi pulset uena.	 After he has supported himself as described above, let him come over here.
Et loca utriusque sunt loca quae sunt post aures depressa: et raro occultatur, nisi in quibusdam hominibus.	 The two places are the ones that are below the ears of both people and they do not commonly happen unless some men have them.
Deinde signa cum encaustro super utraque: et incide utramque cum spatumili utrimque acuro, incisione perueniente ad os: et fiat illud per latitudinem capitis.	 Then he signs with a cistus over each and strikes both of them with a spatula, causing one to fall into the mouth as far as its height extends upwards from the head; then let this be done along the length of the forehead.
Et si uis, intromitte spatumile sub arteria, et incide eam ad superiora cum incisione.	 And if there is a vein, he enters with a spatula under it and strikes at its top with an incision.
Et sit longitudo incisionis quasi duo digiti iuncti.	 The length of the incision should be like two joined fingers.
Nam quando inciditur uena, egreditur sanguis egressione pulsatili, qui salit ad interiora saltu frequenti.	 When an incision is made on one, a blood flow escapes from it, which splashes into frequent streams inside.
Si autem arteria non apparet sensui, tunc oportet ut mensures ab aure quantitatem spacii trium digitorum.	 If the artery is not visible to him, then he should measure off three fingers' widths of space from the ear.
Deinde signa cum encaustro, et finde usque ad os.	 Then he signs with a cistus and finds himself up until his mouth.
Et illud quod oportet emittere ex sanguine, est VI uncia et fortasse emittis ex eo plus, aut minus.	 That which it is necessary to extract from the blood should be done in one inch or more out of him and less than that.
Totum illud secundum quantitatem quae apparet tibi ex uirute infirmi et repletione arteriae eius.	 Do all this according to the amount which appears to you from the veins of his body, being attentive at the same time to the fullness and looseness of his arteries as well.
Deinde considera ad uulnus.	 After he has supported himself as described above, let him come over here.
Tunc si remanet ad os ex sifac aliquid, tunc incide illud, ut non accidat apostema calidum: tunc stringe uulnus cum liciniis ex panno lini.	 If anything is left from the cistus in his mouth after he has found it, then he strikes that and does not let it drop on a cold one; then you should support his head with linen strips.
Deinde cura ipsum cum unguento, donec sanetur.	 After he signs as described above, care for him with unguent until he becomes better.
¶ De extractione arteriarum, quae sunt in timporibus.	 Of the extraction of the arteries that are inside the temples
Caput III.	 Head Three
Quando accidit homini hemicranea antiqua, aut catarri acuti propter humiditates acrimoniales, et caliditate in lacertis timporum, aut soda antiqua, uehemens, et similia illis: et medicatur cum modis curationis medicinae, et non confert illud: tunc experti sumus in his aegritudinibus extractionem arteriarum ex timporibus, aut cauterizationem earum, sicut narrauimus.	 When a man has a hemorrhage on the old side of his head or an acute catarrh from acrid and sour fluids due to coldness in the ears, or he is suffering from a hangover with nausea; and also similar cases: then it should be treated as we have taught you before, and not put that there. Then our master taught us how to do the extraction of arteries from the temples and cauterization on the same principle.
Et modus operationis in extractione earum, est, ut radat infirmus pilos qui sunt in timporibus, et intendat ad arteriam apparentem in timpore.	 To make an incision into the ears, there is a method by which to remove the hairs that are within the borders of it, and then direct this towards the visible artery at its place
Ipsa namque ostenditur tibi ex pulsu suo, et raro occultatur nisi in paucis hominibus, aut uehementia frigoris.	 When you receive from your own pulse, it is rare to be hidden unless only a few people or extreme cold
Quod si occultatur tibi, tunc stringat infirmus caput suum cum quolibet panno suo: deinde frica locum cum panno aspero.	 If that happens (it's rare), then he ties up his head with a cloth and then quickly covers the place with it.
Aut uapora locum cum aqua calida, donec appareat tibi apparitione manifesta.	 Or if there is warmth in the place, then an immediate appearance of a visible thing would appear to you.
Deinde accipe spatumile, quod paulo ante formaui.	 Then take quickly what I made before
Deinde excoria cum eo cutem cum facilitate, donec peruenias ad arteriam.	 And then you will remove the wound with it in a gentle way and direct towards the artery at its place.
Deinde proiice in eam uncinum, et extrahe eam ad superiora, donec extrahas eam ex cute, et facias eam euadere ex tunicis quae sunt sub ea ab omni parte.	 Then pull gently towards it and remove it from above and then remove the piece of cloth that is below it from every part of it.
Si autem arteria est subtilis: tunc inuolue eam cum extremitate uncini.	 If the artery is thin, then gently take it with a hook to it.
