Praefatio.	Premise.
Postquam signatur cum encaustro, et ponitur linea quae est per latitudinem in latere superiori Rupturae, et linea altera ad inferius.	Afterwards, it is signed with wax, and a line is put which is across the width at the back of the Torn, and another line to the front.
Et depone manum tuam in medio cum cauterio clauili.	And place your hand in the middle with the clawing cautery.
Sed cauterium primum est facilius et melius.	But the first cautery is easier and better.
¶ De modo cauterizandi in doloribus propter casum, aut percussionem.	The way to cauterize in cases of pain, or percussion.
Caput XLVIII.	Chapter 58.
Quando accidit in quibusdam membris a casu, aut percussione dolor: et perseuerat ille dolor tempore longo, et non confert in eo curatio cum medicinis: tunc oportet ut cauterizetur cum cauterio Puncti.	When it happens in some member by accident, or by percussion: and this pain persists for a long time, and your treatment does not succeed in it: then it is necessary to cauterize with Pointed cautery.
Et sit cauterium omnis membri cauterium secundum magnitudinem eius, et ipsius paruitatem, et debilitatem eius, et ipsius uirtutem, et locationem torsionis, et doloris ex eo.	And let there be a cautery for every member according to its size, and its health, and its weakness, and its strength, and its location of twisting, and the pain from it.
Si ergo sanatur ex cauterio primo, est bene.	If then is healed by the first cauterization, it is well.
Si non: tunc itera super ipsum cauterium.	If not: then repeat on the same place the cauterization.
Quoniam de consuetudine horum dolorum est, ut permutentur ex membro ad illud quod appropinquat ei.	For from the custom of these pains is that they should be changed from one member to that which approaches it.
Quare oportet ut consequaris eos cum cauterio, donec sanetur infirmus.	Why it should be that these should be followed with cauterization, until the weak one is healed.
¶ De modo cauterizandi in Lepra.	On the manner of cauterizing for leprosy.
Caput XLIX.	Head 49.
Leprosi autem quandoque iuuantur cauterio iuuamento maximo.	And for leprosy, whenever they are increased, let them be cauterized with the greatest care.
Et praecipue species Leprae, quae fit propter putrefactionem phlegmatis et melancholiae: cum ergo uis cauterizare ipsam considera.	And especially the species of leprosy, which is made by putrefaction of phlegm and melancholy: so that when you are cauterizing it, consider well its shape.
Si ergo Lepra est ineipiciens, et curasti eam cum eo, quod diximus in diuisione, et non descendit, neque stat: et times super infirmum, quod comprehendat corruptio super totam complexionem eius: tunc cauteriza eum super caput quinque cauteriis: uno in medio capitis noto, et secundo inferius eo uersus frontem apud finem capillorum, et duobus super duo cornua, et uno posterius super nucea ceruicis.	If then is insistent leprosy, and you have treated it with care when it comes down, and has not stood, and has covered the whole complexion: then cauterize it on top five cauterizations: one in the middle of the head's knot, and the second lower than that going towards the forehead at the end of the hair, and two above two horns, and one behind the ear.
Et ultima manum tuam cum cauterio parumper, donec imprimat in os impressionem paruam, et dislocentur ex eo cortices: ut alleuietur expiratio uaporum grossorum ex eo, et cauteriza cauterio etiam super ipsum splenem, secundum quod praecessit.	And the last hand with a little cauterization, until it presses on the gums a deep impression, and the membranes are dislocated from them: so that the expiration of thick vapors comes out of it, and cauterize it with cautery also on top of the spleen, according to what preceded.
Sin autem Lepra iam sparsa est super infirmum, et apparet manifeste: tunc oportet ut cauterizes cum istis cauteriis, quae diximus in capite, et cauterio super extremitatem nasi, et duobus cauteriis super duas maxillas, et duobus cauteriis super spondiles colli, et sex super spondiles dorsi, et uno magno super alhahosos apud gran caudae et uno supra ipsum, in ipso almeidati: et duobus super anchas: scilicet super omnem ancham uno, et duobus super genua: uno super omne genu, et duobus super humeros, et duobus super cubitos, et duobus super teneritudines pectoris sui: et cauteriza ipsum super omnem iuncturam, ex iuncturis digitorum manuum suarum, et pedum suorum: et cauteriza super omnem calcaneum pedum suorum, et focilia manuum suarum.	But if leprosy has already spread on the weak one, and it appears clearly: then you should cauterize it with these cauterizations, which we have said in the head, and a cauterization on the extremities of the nose, and two cauterizations on each of the cheeks, and two cauterizations on the two bones of the neck, and one great one at the bottom of the throat, and one above it: and two on the two shoulders, and two on the two hips, and two on the two breasts, and one on the whole body, from the joints of fingers of both hands and feet, and one on each heel of the feet, and fillets of the hands.
Et caue tibi a neruis qui sunt super postremum calcanei, ut non comburas eos.	And because of the nerves that are above the last bone of the foot, so that you don't burn them.
Et quandoque cauterizatur cauterio super os pectinis, et alio super os stomachi, et alio super epar.	And when the cautery is applied with fire to the ospectines, and to the os stomachi, and to the osépar.
Et scias, quod quanto plus addis cauterium, est magis iuuamentum, et magis conferens.	And you should know that the more you apply the cautery, the greater the benefit, and the more it confers.
Et scias, quod infirmus non inuenit in cauterio dolorem, sicut inueniunt ipsum sani: propterea, quod corpus eius iam stupefactum est.	And you should know that a sick person does not feel pain in the cautery, as he feels it when he is healthy: therefore, because his body is already stuporified.
Et oportet ut sint cauteria ex magnitudine, et paruitate secundum membra et iuncturas: secundum quod praecessit ex speciebus ferramentorum.	And let the tools be of proper size and shape according to the limbs and joints: and because they have been preceded by the appearance of the instruments of surgery.
Deinde cura cauterium ex farina herbi cum melle, et reliqua curatione, donec sanetur.	Then take care to apply the cautery with flour of herb mixed with honey, and with other cure, until it is healed.
¶ De modo cauterizandi in Stupore.	The mode of applying the cautery in stupor:
Caput L.	(Head)
Quando stupet aliquod membrum, et curatur cum medicinis, et oleis, et emplastris, et non sanatur, tunc cauteriza ipsum membrum stupefactum cauteriis, secundum quod meretur magnitudo membri, aut paruitas eius.	When a limb is stuporified and treated with medicines, oils, plasters, and is not healed, then cautery the limb that is stuporified with cauterias, according as the magnitude of the limb is increased, or its parity is diminished.
Et sit cauterium tuum intrans in spissitudinem cutis parumper.	And let your cautery be applied a little into the thickness of the skin.
Deinde cura ipsum cum unguento, donec sanetur.	Then take care to apply the medicine on it with ointment, until it is healed.
Et quandoque cauterizatur ad quiddam stuporis, qui accidit manui, et pedi, in spondilibus dorsi apud exitum neruorum, qui mouent illud membrum: et remouetur stupor.	And when the cautery is applied to some kind of stupor that occurs in the hand or foot at the exits of the nerves that move that limb: and the stupor disappears.
Verum non praesumat super illud, nisi qui est sapiens in anatomia membrorum, et egressione neruorum mouentium corpus.	But he does not presume over it, unless he is wise in anatomy of limbs, and knows the exit of the nerves that move the body.
¶ De modo cauterizandi in Albaras.	The mode of applying the cautery in Albaras:
Caput LI.	(Head)
Quando antiquatur Albaras, et non confert in eo aliquid ex ingeniis medicinae: tunc cauteriza super ipsam cauterio profundo parumper, secundum quantitatem spissitudinis cutis, donec remoueatur albedo, et mutetur color eius.	When Albaras is applied to the head and does not confer any benefit to it with medicines: then apply a deep cautery on it little by little, according as there is thickness of skin, until the skin is bleached and its color changes.
