Praefatio.	A preface.
Et haec Alxatrati est aut naturalis, aut accidentalis.	And this is of Alxatrati, either natural or accidental.
Accidentalis ergo fit ex consolidatione uulneris, aut sectionis, aut cauterii, et similium illis.	Therefore it is done through the consolidation of a wound, or section, or cauterization, and similar things.
Et modus operationis in ea est, ut tu findas illam consolidationem, et ut separes labia eius, et ponas in eo quod est inter ea licinium ex lino, et liges eam, donec sanetur.	And the manner of the operation is thus: as you seek out that consolidation, and cut apart its lips, and put on linen at that which lies between them, and tie it up until it heals.
Et non oportet, ut utaris in curatione eius rebus quae exiccant et constringunt: nam si tu facis illud, redit Alxatrati deterior quam fuit: imo utere in ea rebus quae mollificant, sicut foenumgraecum: et embroca cum aqua, in qua cocta sit althea, semen lini: et unguento dyaquilon, quod liquefactum sit cum aliquo ex oleis: et inuolue cum eo licinium, et cura cum eo.	And it is not necessary to use remedies that burn and constrict, for if you do this, Alxatrati's condition becomes worse than before: whereas you should apply those things that soften, such as barley food: and apply a poultice with water, in which the cooked althaea has been placed, and flaxseed: and an ointment of diyaquil, which is liquid with some of the oils: and cover it with linen, and cure with it.
Et thesaurus curationis tuae est, ut coneris omni ingenio, ut non consolidetur, secundum formam quae fuit in primis.	And your treasure for your cure is, that you may cut with all ingenuity, so that it does not consolidate again, according to the form in which it was at first.
Et haec quidem operatio quam diximus, non est nisi quaedam rectificatio Alxatrati, ut non redeat forma loci secundum quod fuit omnino.	And this operation, which we mentioned, is not but a correction of Alxatrati, so that it does not return to the form of its place as it was entirely.
¶ De cura Alxatrati quae fit in palpebra inferiori, et est rugatio uel contractio sursum ad dextrum et sinistrum.	¶ On the cure of Alxatrati that is done on the lower eyelid, and it is a wrinkling or tightening upwards towards the right and left.
Caput XIIII.	Chapter XXIII.
Haec Alxatrati quae fit inferius, est quae uere nominatur Alxatrati.	This that is done below, is what truly bears the name of Alxatrati.
Et est naturalis, et est accidentalis.	And it is both natural and accidental.
Et accidentalis fit ex uulnere, aut fissura, aut cauterio, et illis similibus.	And an accidental occurrence occurs from a wound, or a fracture, or cauterization, and similar things.
Et uia operationis in ea est, ut accipias acum, in qua sit filum duplum, et tingas eam in carnem, et facias eam penetrare a lachrymali sinistro usque ad lachrymale dextrum, donec perueniat filum in duabus extremitatibus carnis.	And the way of the operation is this: take up an awl, in which there is a thread twice as strong, and dye it in flesh, so that it penetrates from the left lacrimal duct to the right one, until the thread reaches both extremities of the flesh.
Deinde extende carnem ad superiora cum acu, et incide eam cum spatumili lato.	Then stretch the flesh upward with a sharp knife, and cut it with a broad blade.
Si ergo redit figura palpebrae secundum quod oportet, est bonum.	If then the shape of the eyelid returns as is fitting, it is good.
Et si non, accipe radium, et pone ipsum in fissuram, et conuerte cum eo palpebram: et finde duas fissuras in latere interiore palpebrae, et sint extremitates duarum fissurarum ex duobus angulis incisionis, donec concurrant et fiat ex eis angulus: donec quando aggregantur fiat figura earum haec figura, et est litera lauda graeca.	And if not, take a needle and put it into the fissure, and convert with it the eyelid: and find two fissures on the inner side of the eyelid, so that their extremities meet at the angle of the incision, until they converge and form an angle: until when they come together, let them form this figure, and it is a Greek letter of praise.
Deinde aufer illam carnem per quantitatem, quod est latus eius acutum inferius, ab eo quod sequitur palpebram.	Then remove that flesh according to the amount of its width, from which it follows the eyelid.
Deinde aggrega partes separatas: sue eam cum filo lanae.	Then gather together the separate parts: one with wool thread.
Deinde cura eas cum eo quod diximus, de medicinis mollificantibus, et liciniis, donec sanentur.	Then care for them according to what we have said, concerning medicinal soothing treatments and licorice, until they are healed.
Et si Alxatrati accidat ex fissura, et sutura, aut cauterio: tunc oportet ut findas fissura plana sub pilis palpebrarum, etiam secundum quod praecessit.	And if the Alxatrati [an eye condition] occurs from a fissure and suture or cauterization: then you must find a flat fissure under the hairs of the eyelid, even as it preceded.
Deinde separa inter duo labia cum licinio, secundum quod diximus.	Then separate between the two lips with licorice, according to what we have said.
Et summa sermonis de cura Alxatrati, quando est desuper, aut inferius, est, ut currat in ea operatio, secundum quod praeparatur ex forma Alxatrati.	And the final matter of treating Alxatrati when it is above or below, is to cure with that operation, according to what is prepared from the form of Alxatrati.
Ipsa namque est multarum diuersitatum in forma: et artifex prudens praeparat ingenium cum quocunque modo est possibile ei, donec redire faciat figuram ad formam naturalem, aut prope eam, et ipsemet infirmus, secundum quod conuenit ei ex operatione et instrumentis in plurimis dispositionibus.	It is also of various forms: and the skilled craftsman prepares his art with whatever method may be possible to it, until he returns to shape to a natural form, or nearly so, and himself sick, according to what suits him from operation and instruments in many dispositions.
¶ De adhaerentia palpebrae oculi cum coniunctiua, aut cornea.	On the sticking together of the eyelid with conjunctiva, or cornea.
Caput XV.	Head XV.
Quandoque accidit haec consolidatio multis hominibus, ita ut consolidetur palpebra superior cum albedine oculi, et prohibeat ipsum ab operationibus suis naturalibus.	Sometimes this consolidation occurs in many people, so that the upper eyelid is consolidated with the whites of the eye, and prevents the self from being able to perform his own operations naturally.
Oportet ergo quod intromittas extremitatem radii sub palpebra, et eleues eam sursum: aut extendas eam cum uncino: deinde incide adhaerentiam cum spatumili subtili, quod non sit cum acuitate incisionis spatumilium, imo sit obtusum parumper: ut non inquietetur infirmus apud operationem, et remoueatur spatumile, et laedat oculum cum acuitate sua: et sit incisio tua quasi tu excories illam adhaerentiam cum facilitate, donec quando redit palpebra secundum formam suam naturalem, et sanetur adhaerentia tota.	Therefore you must insert the radius extremity under the eyelid, and lift it up: or extend it with a ligature: then cut the sticking together with a needle of fine size, which should not be sharp like the cutting of needles, but blunt for a little while: so that it does not disturb the sick person during operation, and remove the needle, lest it hurts the eye with its sharpness: and your incision is like you easily remove that sticking together with ease, until when the eyelid returns to its natural form, and the entire sticking together is healed.
Funde tunc in oculum aquam salsam, cum aqua ablue ipsum: aut distilla in ipsum ex sief facto, ex ziniar dissoluto cum aqua.	Then pour water saline into the eye, with clean water: or distill it into him from itself, by dissolving zinc jar (zine) with water.
Deinde separa inter palpebram et oculum cum licinio lini: et pone super oculum lanam infusam cum albugine oui: et post diem tertium utere sief, et cum solidatiuis, donec sanetur.	Then separate the eyelid and eye with linen thread, and put over the eye wool soaked in alum (albugine): and use it for three days, and with ointments, until healing occurs.
